WKT;Tipo;Nombre de la avenida;País;Departamento;Provincia;Distrito;Ubigeo;Nombre del personaje
LINESTRING (-77.0899953 -12.0115494, -77.0840682 -12.0069606, -77.0808529 -12.0065063, -77.0746624 -12.0063909, -77.0623768 -12.0046747);Avenida;Avenida Angélica Gamarra;Perú;Lima;Lima;Los Olivos;150117;María Angélica Gamarra Peralta
LINESTRING (-77.0899953 -12.0115494, -77.0840682 -12.0069606, -77.0808529 -12.0065063, -77.0746624 -12.0063909, -77.0623768 -12.0046747);Avenida;Avenida Angélica Gamarra;Perú;Lima;Lima;San Martín de Porres;150135;María Angélica Gamarra Peralta
LINESTRING (-77.0899345 -12.0840002, -77.0890333 -12.0821852, -77.088411 -12.0809997, -77.0880087 -12.0803204, -77.0873006 -12.0787887, -77.0870494 -12.0782291);Avenida;Avenida Brígida Silva de Ochoa;Perú;Lima;Lima;San Miguel;150136;Brígida Silva de Ochoa
LINESTRING (-77.0815525 -11.8548212, -77.0812615 -11.8545193, -77.0809383 -11.8541768, -77.0806915 -11.8539038, -77.0804206 -11.8536176, -77.0801698 -11.8533551, -77.0797729 -11.8529417, -77.0794711 -11.8526293, -77.0791854 -11.8523314, -77.0783862 -11.8515019, -77.0777049 -11.8507944, -77.0771483 -11.8501894, -77.0770021 -11.8500463);Avenida;Avenida Clara Balbuena;Perú;Lima;Lima;Puente Piedra;150125;Clara Balbuena
LINESTRING (-77.1025798 -11.8253725, -77.1022633 -11.8257821, -77.1019844 -11.8260289, -77.1015069 -11.8264121, -77.1010778 -11.8268374, -77.1007505 -11.8272207, -77.1005467 -11.8274623, -77.1007023 -11.8276775, -77.1010402 -11.827289, -77.1016625 -11.8266327, -77.1019361 -11.8264227, -77.1021453 -11.8262441, -77.1024457 -11.8259974, -77.1026978 -11.8257401);Avenida;Avenida Chimpu Ocllo;Perú;Lima;Lima;Puente Piedra;150125;Isabel Suárez Yupanqui
LINESTRING (-76.9460786 -12.0627646, -76.9455797 -12.063777, -76.9450325 -12.0647895, -76.9446141 -12.0656026, -76.9439596 -12.0668144, -76.9432194 -12.0681469, -76.942699 -12.0691069, -76.9421197 -12.070177, -76.9415618 -12.071137, -76.9411809 -12.0719449, -76.9400893 -12.0729048, -76.9398371 -12.0731396, -76.9396855 -12.0733382, -76.9396252 -12.0736104, -76.9395528 -12.0746241, -76.9395367 -12.0751625, -76.9394375 -12.0757113);Avenida;Avenida Flora Tristán;Perú;Lima;Lima;La Molina;150114;Flora Celestina Teresa Enriqueta de Tristán y Moscoso
LINESTRING (-77.0431994 -11.8905907, -77.0406137 -11.8914332, -77.0402266 -11.8915806, -77.0399557 -11.8917446, -77.0388949 -11.8926121, -77.0356118 -11.8953797, -77.0324468 -11.8980568, -77.0312331 -11.8990558);Avenida;Avenida Isabel Chimpu Ocllo;Perú;Lima;Lima;Carabayllo;150106;Isabel Suárez Yupanqui
LINESTRING (-77.0316139 -12.070633, -77.0309528 -12.0705385, -77.0304096 -12.0704756, -77.029782 -12.0703943, -77.0290176 -12.0702828, -77.0283296 -12.0701884, -77.0278066 -12.0701281, -77.0270073 -12.070031, -77.0262978 -12.0699353, -77.0258298 -12.0698907, -77.0251243 -12.0698067, -77.0244538 -12.0697149, -77.024038 -12.0696586, -77.0229491 -12.0695209, -77.0224073 -12.0694435, -77.0216589 -12.0693359, -77.020861 -12.0692363, -77.0201636 -12.0691497, -77.0197117 -12.0690736, -77.0193187 -12.0690225, -77.0186951 -12.0689582, -77.0179038 -12.0688704, -77.01748 -12.0688022, -77.0169651 -12.0687353, -77.0164125 -12.0686448, -77.0158735 -12.0685854, -77.0152847 -12.0685084, -77.0148595 -12.0684691, -77.0143566 -12.0684114, -77.0135828 -12.0683143, -77.013049 -12.0682409, -77.0126065 -12.0681727, -77.0122001 -12.0681123, -77.0118534 -12.0680697, -77.011543 -12.0680271, -77.0110427 -12.0679589, -77.0105264 -12.067913, -77.0102099 -12.0678763, -77.0094254 -12.0677478);Avenida;Avenida Isabel la Católica;Perú;Lima;Lima;La Victoria;150115;Isabel I de Castilla 
LINESTRING (-77.1012266 -11.8428837, -77.1006579 -11.8422104, -77.100611 -11.8421539, -77.1002757 -11.8423298, -77.0998922 -11.8419649, -77.0994603 -11.8414977, -77.0988408 -11.8408388, -77.0984652 -11.8405054, -77.0981917 -11.840319, -77.0975801 -11.8400906, -77.0974031 -11.8400223, -77.0968452 -11.8399908, -77.0963356 -11.8399305, -77.0958501 -11.8400171, -77.0955068 -11.8400092, -77.0950562 -11.83992, -77.0944902 -11.8396889, -77.0941415 -11.8396154, -77.0938143 -11.8396784, -77.0934656 -11.8397572, -77.093302 -11.8397598, -77.092787 -11.8395551, -77.0924356 -11.8394317, -77.09169 -11.8392164, -77.0913145 -11.8391219, -77.0910221 -11.8391324, -77.0906386 -11.839009, -77.0902845 -11.8388436, -77.0901209 -11.8386258, -77.0900029 -11.8385575, -77.0898822 -11.8385864, -77.0897239 -11.8387308, -77.0896005 -11.8388358, -77.0894691 -11.8388804, -77.0893457 -11.8388515, -77.0892063 -11.8387728, -77.0891231 -11.8387623, -77.08893 -11.8388095, -77.0882138 -11.8387649, -77.0881387 -11.8387518);Avenida;Avenida Juana de Arco;Perú;Lima;Lima;Puente Piedra;150125;Juana de Arco 
LINESTRING (-77.1144856 -11.9623455, -77.1143944 -11.9621251, -77.1141959 -11.9618627, -77.1137614 -11.9614166, -77.1133403 -11.9609574, -77.113013 -11.9606557, -77.112887 -11.9605664, -77.1123425 -11.9603854, -77.1120314 -11.9600653, -77.1112884 -11.9593332, -77.1106661 -11.9587795, -77.109317 -11.9575016, -77.1078525 -11.9561712, -77.1064792 -11.9548592, -77.1063478 -11.9548041, -77.1061761 -11.9545758, -77.1056799 -11.9540904, -77.1052427 -11.9536732, -77.1051488 -11.9536102, -77.1050227 -11.9535787, -77.1048913 -11.9535813, -77.1047867 -11.9535813, -77.1041162 -11.9534396, -77.1036253 -11.953332, -77.1033839 -11.9532796, -77.1029413 -11.9532454, -77.1024988 -11.9531903, -77.1023137 -11.9532166, -77.1021957 -11.9532717, -77.102126 -11.9533399, -77.1018765 -11.9536574, -77.1017665 -11.9538017, -77.1017102 -11.9538437, -77.1016646 -11.9538621, -77.1016311 -11.9538608, -77.1015895 -11.9538411, -77.1010705 -11.9534541, -77.100809 -11.9532809, -77.1006843 -11.9532205, -77.1004898 -11.9531497, -77.1002953 -11.9531116, -77.1000875 -11.9531037, -77.0997589 -11.9531339, -77.0995886 -11.9531392, -77.0994947 -11.9531195, -77.099437 -11.953067, -77.0993458 -11.9528991, -77.0991876 -11.9525396, -77.0991246 -11.9524136, -77.0988563 -11.9519925, -77.0984513 -11.9513102, -77.0982797 -11.9510111, -77.0979685 -11.9507211, -77.0978827 -11.9506345, -77.0978545 -11.9506122, -77.0978371 -11.950607, -77.097821 -11.9506306, -77.0976185 -11.9508575, -77.097247 -11.9512787, -77.0968219 -11.9517524, -77.0964625 -11.9521709, -77.0961567 -11.9525186, -77.095926 -11.9527757);Avenida;Avenida Josefina;Perú;Lima;Lima;San Martín de Porres;150135;Josefina
