WKT;Tipo;Nombre de las calles;País;Departamento;Provincia;Distrito;Ubigeo;Nombre del personaje
LINESTRING (-77.1126603 -12.0566987, -77.1126282 -12.0568332, -77.1125578 -12.0571532, -77.112483 -12.0575076, -77.1122563 -12.0585637, -77.1122396 -12.0586765, -77.1122423 -12.0587644, -77.1122671 -12.0588529, -77.1123133 -12.0589611, -77.1124723 -12.0592437, -77.1126298 -12.0595008, -77.1128927 -12.0599552, -77.113458 -12.0609198, -77.1137644 -12.061432);Calle;Calle Aída García de Sotomayor;Perú;Lima;Callao;Bellavista (Callao);70102;Aida García Crescimbeni
LINESTRING (-77.0721788 -11.9818939, -77.0710737 -11.9820014, -77.0704032 -11.982067, -77.0702959 -11.9820592, -77.0702557 -11.9820355, -77.0697863 -11.9820801, -77.068126 -11.9822612, -77.0663665 -11.9824186, -77.0660553 -11.9824475, -77.0659883 -11.9824265);Calle;Calle Alameda Victoria Barciaboniffatti;Perú;Lima;Lima;Los Olivos;150117;Victoria Barcia Boniffatti
LINESTRING (-77.0831414 -12.0265662, -77.0830583 -12.026414, -77.0836403 -12.0261569, -77.0843323 -12.0258369, -77.0843779 -12.0259444, -77.0799067 -12.0282792, -77.0794239 -12.0284786, -77.0786782 -12.0286701, -77.0784878 -12.0287016, -77.0779567 -12.0287068, -77.0775034 -12.0287448);Calle;Calle Amalia Puga de Lozada;Perú;Lima;Lima;San Martín de Porres;150135;Amalia Natividad de las Mercedes Puga y Puga
LINESTRING (-77.082668 -12.0854265, -77.0823435 -12.0848102, -77.0820672 -12.0842751, -77.0817882 -12.0837663, -77.0814127 -12.083066, -77.0811472 -12.0825782, -77.0810319 -12.0823605);Calle;Calle Amalia Puga de Lozada;Perú;Lima;Lima;San Miguel;150136;Amalia Natividad de las Mercedes Puga y Puga
LINESTRING (-77.0888074 -12.0820412, -77.0877935 -12.0825133, -77.0869861 -12.0829093);Calle;Calle Angélica Palma;Perú;Lima;Lima;San Miguel;150136;María Angélica Palma y Román
LINESTRING (-77.0711691 -11.9827098, -77.0707855 -11.9827504, -77.0697395 -11.9828397);Calle;Calle Angélica Palma;Perú;Lima;Lima;Los Olivos;150117;María Angélica Palma y Román
LINESTRING (-77.0725885 -11.9678994, -77.0723311 -11.9675636, -77.0720146 -11.9672487, -77.0715264 -11.9667764, -77.0711562 -11.9664983, -77.0708397 -11.9662936, -77.0704374 -11.9660469, -77.0697776 -11.9657531, -77.0694986 -11.9656743);Calle;Calle Antonia Moreno;Perú;Lima;Lima;Los Olivos;150117;Antonia Moreno Leyva
LINESTRING (-77.0403312 -11.8960138, -77.0390867 -11.8953813);Calle;Calle Antonia de Castro;Perú;Lima;Lima;Carabayllo;150106;Antonia de Castro
LINESTRING (-77.0781948 -12.0836882, -77.0780245 -12.0832777, -77.0779212 -12.0829591, -77.0778421 -12.0827073, -77.0777456 -12.0823637, -77.0776463 -12.0817303, -77.0776208 -12.0814929);Calle;Calle Bárbara Alcázar;Perú;Lima;Lima;San Miguel;150136;Bárbara Alcázar
LINESTRING (-76.9972171 -12.1169823, -76.9974799 -12.1160133, -76.9973458 -12.1156789, -76.9971272 -12.1152764, -76.9970964 -12.1151112, -76.9971125 -12.1149551, -76.9971822 -12.1145644);Calle;Calle Bárbara D'Achille;Perú;Lima;Lima;Surquillo;150141;Bárbara D'Achille
LINESTRING (-77.0321335 -12.0219715, -77.0317902 -12.0215937, -77.0318465 -12.0212868, -77.0309238 -12.020505);Calle;Calle Bartola Sancho Dávila;Perú;Lima;Lima;Rímac;150128;Bartola Sancho Dávila Franco
LINESTRING (-77.0447315 -11.9421385, -77.0447852 -11.9427709, -77.0448469 -11.9435949, -77.044879 -11.9438966);Calle;Calle Beatita de Humay;Perú;Lima;Lima;Comas;150110;Luisa de la Torre Rojas
LINESTRING (-77.0875448 -12.0840834, -77.0867536 -12.0824389);Calle;Calle Beatriz Cisneros;Perú;Lima;Lima;San Miguel;150136;Beatriz Cisneros Bustamante
LINESTRING (-77.0777277 -12.0823935, -77.0771591 -12.0825194);Calle;Calle Candelaria García;Perú;Lima;Lima;San Miguel;150136;Candelaria García
LINESTRING (-77.0842083 -12.0811897, -77.083578 -12.0812448, -77.0828887 -12.0812789, -77.0823576 -12.0813182);Calle;Calle Carolina Freyre de James;Perú;Lima;Lima;San Miguel;150136;Carolina Freyre Arias
LINESTRING (-77.0361245 -12.1045554, -77.0346815 -12.1046604, -77.0344776 -12.1046708);Calle;Calle Carolina Vargas de Vargas;Perú;Lima;Lima;San Isidro;150131;Carolina Vargas de Vargas
LINESTRING (-77.0408669 -11.8951772, -77.0406027 -11.8950328, -77.0404512 -11.8949528, -77.0398973 -11.8946693, -77.039491 -11.8944672, -77.0390833 -11.8942664, -77.0387171 -11.8939366, -77.0382734 -11.8934093);Calle;Calle Catalina de Salas Pachacútec;Perú;Lima;Lima;Carabayllo;150106;Catalina de Salas Pachacútec
LINESTRING (-76.827493 -12.1089894, -76.8272489 -12.1090182, -76.8271524 -12.1089501, -76.8267661 -12.1083783);Calle;Calle Catalina Huanca;Perú;Lima;Lima;Cieneguilla;150107;Catalina Huanca
LINESTRING (-77.034516 -12.0940862, -77.0344697 -12.0939301, -77.0344188 -12.0937964, -77.0343832 -12.0937433);Calle;Calle Catalina Huanca;Perú;Lima;Lima;San Isidro;150131;Catalina Huanca
LINESTRING (-77.0829226 -12.0370652, -77.0828368 -12.0376397, -77.0827778 -12.0386181, -77.082708 -12.0390378);Calle;Calle Cecilia Túpac Amaru;Perú;Lima;Callao;Carmen de La Legua (Callao);70103;Cecilia Túpac Amaru
LINESTRING (-77.0731709 -12.0831013, -77.0722214 -12.0835262);Calle;Calle Condesa de Chinchón;Perú;Lima;Lima;San Miguel;150136;Francisca Henríquez de Ribera
LINESTRING (-76.9983275 -12.1182937, -76.9979469 -12.1181826, -76.9978772 -12.1181735, -76.9978098 -12.1181839, -76.997677 -12.1182203, -76.9975094 -12.1182675);Calle;Calle Clara Bartón;Perú;Lima;Lima;Surquillo;150141;Clarissa Harlowe Barton
LINESTRING (-76.9990565 -12.0992831, -76.99874 -12.0988411);Calle;Calle Clarawieck Schumann;Perú;Lima;Lima;San Borja;150130;Clara Wieck
LINESTRING (-77.0491342 -11.9497479, -77.0482705 -11.9497899, -77.0473639 -11.9498948, -77.046409 -11.9499788, -77.0463447 -11.9500313, -77.0463554 -11.950131, -77.0463769 -11.9502937);Calle;Calle Clorinda Málaga;Perú;Lima;Lima;Comas;150110;Clorinda Mercedes Málaga Bravo
LINESTRING (-77.1129333 -12.0619071, -77.1125819 -12.0613195, -77.1120106 -12.0603411, -77.1115814 -12.0596251);Calle;Calle Chabuca Granda;Perú;Lima;Callao;Bellavista (Callao);70102;María Isabel Granda y Larco
LINESTRING (-77.0867874 -11.9902501, -77.0866801 -11.9899484, -77.0864521 -11.9895889, -77.0858419 -11.9885788, -77.085576 -11.9881472);Calle;Calle Chabuca Granda;Perú;Lima;Lima;Los Olivos;150117;María Isabel Granda y Larco
LINESTRING (-77.0089922 -11.8771863, -77.0087535 -11.8767348, -77.0084182 -11.8762308);Calle;Calle Chimpu Ocllo;Perú;Lima;Lima;Carabayllo;150106;Isabel Suárez Yupanqui
LINESTRING (-77.0398672 -11.895817, -77.0393978 -11.8967225, -77.038915 -11.8975545);Calle;Calle Dionisia Cahuaypata;Perú;Lima;Lima;Carabayllo;150106;Dionisia Caguaitapa de Puyucagua
LINESTRING (-76.995624 -12.1421384, -76.9939825 -12.1431506);Calle;Calle Doña Alicia;Perú;Lima;Lima;Santiago de Surco;150140;Doña Alicia
LINESTRING (-76.993311 -12.1430018, -76.993665 -12.1427501, -76.9943195 -12.142341, -76.9953494 -12.141696, -76.9961595 -12.1411453, -76.9965698 -12.14087, -76.9971733 -12.1404583, -76.9976535 -12.1401122);Calle;Calle Doña Amalia;Perú;Lima;Lima;Santiago de Surco;150140;Doña Amalia
LINESTRING (-77.0012254 -12.1325197, -77.0012415 -12.1324063, -77.0012194 -12.1322536, -77.0011564 -12.1320752, -77.0009572 -12.1317297, -77.0008083 -12.1314734, -77.0006635 -12.1312191, -77.0005643 -12.1310827, -77.0004757 -12.1310119);Calle;Calle Doña Bárbara de Braganza;Perú;Lima;Lima;Santiago de Surco;150140;Bárbara de Braganza
LINESTRING (-76.999122 -12.1389484, -76.9976427 -12.1392159, -76.9974416 -12.1392408);Calle;Calle Doña Consuelo;Perú;Lima;Lima;Santiago de Surco;150140;Doña Consuelo
LINESTRING (-76.9889417 -12.1680388, -76.9883623 -12.1684112, -76.9879788 -12.1686353);Calle;Calle Doña Consuelo;Perú;Lima;Lima;Santiago de Surco;150140;Doña Consuelo
LINESTRING (-76.9989624 -12.1423153, -76.9988578 -12.1421107, -76.998764 -12.141977, -76.9986889 -12.1418905, -76.9985386 -12.1417751, -76.9984019 -12.1416649, -76.9982168 -12.1414027);Calle;Calle Doña Elvira;Perú;Lima;Lima;Santiago de Surco;150140;Doña Elvira
LINESTRING (-76.9965469 -12.1435306, -76.9963632 -12.1436669, -76.9960923 -12.1439907, -76.995643 -12.1444863, -76.9953654 -12.1447761, -76.9951294 -12.1449439, -76.9943354 -12.1454474);Calle;Calle Doña Ester;Perú;Lima;Lima;Santiago de Surco;150140;Doña Ester
LINESTRING (-76.9984876 -12.140259, -76.9983106 -12.1399968, -76.9981202 -12.1395799, -76.9980075 -12.1392049);Calle;Calle Doña Esperanza;Perú;Lima;Lima;Santiago de Surco;150140;Doña Esperanza
LINESTRING (-76.9979142 -12.1428818, -76.9975682 -12.1423705, -76.9969593 -12.1414737);Calle;Calle Doña Gloria;Perú;Lima;Lima;Santiago de Surco;150140;Doña Gloria
LINESTRING (-76.9973818 -12.143265, -76.9971055 -12.1428651, -76.9967676 -12.1423643, -76.9964055 -12.1418136);Calle;Calle Doña Hilda;Perú;Lima;Lima;Santiago de Surco;150140;Doña Hilda
LINESTRING (-76.9911769 -12.171778, -76.9911796 -12.1715106, -76.9911608 -12.1713873, -76.9910803 -12.1712825, -76.9909355 -12.1711304, -76.9908228 -12.1709652, -76.9907424 -12.1708629, -76.9905331 -12.1707187, -76.99045 -12.1706401, -76.9903561 -12.1705116, -76.9902327 -12.1702783, -76.9900933 -12.1700423, -76.9898787 -12.169649, -76.9896722 -12.1693344, -76.98942 -12.1689568, -76.989353 -12.1688519, -76.9892698 -12.1686894, -76.9890606 -12.1682488, -76.9889834 -12.1680641);Calle;Calle Doña Hortencia;Perú;Lima;Lima;Santiago de Surco;150140;Doña Hortencia
LINESTRING (-77.0003215 -12.1436897, -77.000072 -12.1431797, -76.9998293 -12.1425818, -76.9996764 -12.1423091, -76.9995788 -12.1421006, -76.9995044 -12.1419744, -76.9994343 -12.141844, -76.9994028 -12.1417847, -76.9993512 -12.1416853, -76.9993233 -12.1416447, -76.9992627 -12.1415595, -76.9991745 -12.1414569, -76.9991108 -12.141391, -76.9989857 -12.1412828, -76.9989334 -12.1412347, -76.9988684 -12.1411583, -76.9988198 -12.1410993, -76.99874 -12.1409911);Calle;Calle Doña Juana;Perú;Lima;Lima;Santiago de Surco;150140;Doña Juana
LINESTRING (-76.9447014 -12.2272809, -76.943949 -12.2268641);Calle;Calle Doña Julia;Perú;Lima;Lima;Villa El Salvador;150142;Doña Julia
