WKT;Tipo;Nombre del Monumento;País;Departamento;Provincia;Distrito;Ubigeo_distrito;Nombre del personaje
POINT (-77.0408604 -12.0702948);Monumento;Monumento A la Madre;Perú;Lima;Lima;Jesús María;150113;
POINT (-76.9931572 -12.0879972);Monumento;Monumento A la Mujer;Perú;Lima;Lima;San Borja;150130;
POINT (-76.9398924 -12.2081825);Monumento;Monumento A la Mujer;Perú;Lima;Lima;Villa El Salvador;150142;
POINT (-77.05467 -12.0983536);Monumento;Monumento A la Mujer Tacneña;Perú;Lima;Lima;San Isidro;150131;
POINT (-76.9503726 -12.1661261);Monumento;Monumento A la Mujer Villamariana;Perú;Lima;Lima;Villa María del Triunfo;150143;
POINT (-76.9882316 -12.1635329);Monumento;Monumento Agustina Sofia Custodio Mita;Perú;Lima;Lima;Santiago de Surco;150140;Agustina Sofia Custodio Mita
POINT (-77.0981866 -12.0459949);Monumento;Monumento Ana Frank;Perú;Lima;Callao;Carmen de la Legua (Callao);70103;Ana Frank
POINT (-76.9505538 -12.0681372);Monumento;Monumento Antonia Moreno de Cáceres;Perú;Lima;Lima;La Molina;150114;Antonia Moreno Leyva 
POINT (-77.06148 -12.0708428);Monumento;Monumento Antonia Moreno de Cáceres;Perú;Lima;Lima;Pueblo Libre;150124;Antonia Moreno Leyva 
POINT (-77.0140453 -12.1330527);Monumento;Monumento Antonia Moreno de Cáceres;Perú;Lima;Lima;Santiago de Surco;150140;Antonia Moreno Leyva 
POINT (-77.0350623 -12.0420601);Monumento;Monumento Antonia Puente Iriarte;Perú;Lima;Lima;Cercado de Lima;150101;Antonia Puente Iriarte
POINT (-77.0297105 -12.018582);Monumento;Monumento Chabuca Granda;Perú;Lima;Lima;Rímac;150128;María Isabel Granda y Larco
POINT (-77.0227764 -12.1489095);Monumento;Monumento Chabuca Granda;Perú;Lima;Lima;Barranco;150104;María Isabel Granda y Larco
POINT (-77.0285736 -12.1069411);Monumento;Monumento Clorinda Matto de Turner;Perú;Lima;Lima;Miraflores;150121;Grimanesa Martina Mato Usandivaras
POINT (-77.0375469 -12.0595858);Monumento;Monumento Elisa Rodríguez Parra;Perú;Lima;Lima;Cercado de Lima;150101;Elisa Rodríguez Parra
POINT (-77.054663 -12.0600771);Monumento;Monumento Elvira García y García;Perú;Lima;Lima;Breña;150105;Elvira García y García Bert
POINT (-77.0458997 -12.0829447);Monumento;Monumento Georgette y Vallejo;Perú;Lima;Lima;Jesús María;150113;Georgette María Philippart Travers
POINT (-77.0389689 -12.0891918);Monumento;Monumento Joven Estudiante;Perú;Lima;Lima;Lince;150116;
POINT (-77.0376322 -12.0585283);Monumento;Monumento Juana Alarco de Dammert;Perú;Lima;Lima;Cercado de Lima;150101;Juana Alarco Espinoza de Dammert
POINT (-77.0440525 -12.121372);Monumento;Monumento Madeleine Truel;Perú;Lima;Lima;Miraflores;150121;Madeleine Truel Larrabure
POINT (-77.0378183 -12.0532275);Monumento;Monumento Madre Hermasia;Perú;Lima;Lima;Cercado de Lima;150101;Hermasia Paget Morel
POINT (-77.0447566 -12.1051286);Monumento;Monumento Madre Hermasia Paget;Perú;Lima;Lima;San Isidro;150131;Hermasia Paget Morel
POINT (-76.9692309 -12.1693194);Monumento;Monumento Madre de los Héroes;Perú;Lima;Lima;San Juan de Miraflores;150133;
POINT (-77.0614352 -12.0702252);Monumento;Monumento Manuela Saénz;Perú;Lima;Lima;Pueblo Libre;150124;Manuela Sáenz de Vergara y Aizpuru
POINT (-77.0282434 -12.1350833);Monumento;Monumento Manuela Sáenz Aizpuru;Perú;Lima;Lima;Miraflores;150121;Manuela Sáenz de Vergara y Aizpuru
POINT (-77.061324 -12.0689851);Monumento;Monumento Marcela Castro Puyacahua;Perú;Lima;Lima;Pueblo Libre;150124;Marcela Castro Puyacahua
POINT (-76.9344825 -12.2222161);Monumento;Monumento Maria Elena Moyano;Perú;Lima;Lima;Villa El Salvador;150142;María Elena Moyano Delgado
POINT (-77.0364752 -12.0472046);Monumento;Monumento María Laos de Miró Quesada;Perú;Lima;Lima;Cercado de Lima;150101;María Laos de Miró Quesada
POINT (-77.061543 -12.0714252);Monumento;Monumento María Parado de Bellido;Perú;Lima;Lima;Pueblo Libre;150124;María Andrea Parado Jayo
POINT (-76.9764463 -12.1532729);Monumento;Monumento María Parado de Bellido;Perú;Lima;Lima;San Juan de Miraflores;150133;María Andrea Parado Jayo
POINT (-77.0547875 -12.1089678);Monumento;Monumento María Parado de Bellido;Perú;Lima;Lima;San Isidro;150131;María Andrea Parado Jayo
POINT (-76.9879517 -12.1112558);Monumento;Monumento María Parado de Bellido;Perú;Lima;Lima;Santiago de Surco;150140;María Andrea Parado Jayo
POINT (-77.0514104 -11.9988188);Monumento;Monumento Micaela Bastidas;Perú;Lima;Lima;Independencia;150112;Micaela Bastidas Puyucahua
POINT (-77.0665804 -11.985296);Monumento;Monumento Micaela Bastidas;Perú;Lima;Lima;Los Olivos;150117;Micaela Bastidas Puyucahua
POINT (-77.0061368 -12.0281057);Monumento;Monumento Micaela Bastidas;Perú;Lima;Lima;San Juan de Lurigancho;150132;Micaela Bastidas Puyucahua
POINT (-77.0612604 -12.0683004);Monumento;Monumento Micaela Bastidas;Perú;Lima;Lima;Pueblo Libre;150124;Micaela Bastidas Puyucahua
POINT (-77.0293644 -12.0775439);Monumento;Monumento Micaela Bastidas;Perú;Lima;Lima;Cercado de Lima;150101;Micaela Bastidas Puyucahua
POINT (-76.8282308 -12.0141514);Monumento;Monumento Pascuala Rosado;Perú;Lima;Lima;Ate;150103;Pascuala Rosado Cornejo
POINT (-77.0274831 -12.0276587);Monumento;Monumento Rosita Ríos;Perú;Lima;Lima;Rímac;150128;María Rosa Ríos Portales
POINT (-77.0355729 -12.0430793);Monumento;Monumento Santa Rosa de Lima;Perú;Lima;Lima;Cercado de Lima;150101;Isabel Flores de Oliva
POINT (-77.0613932 -12.0697501);Monumento;Monumento Tomasa Tito Condemayta;Perú;Lima;Lima;Pueblo Libre;150124;Ana Tomasa Tito Condemayta y Hurtado de Mendoza
POINT (-77.0649002 -12.0796667);Monumento;Monumento Virginia Candamo De La Puente;Perú;Lima;Lima;Pueblo Libre;150124;Virginia Candamo De La Puente
