WKT;Tipo;Nombre del parque;País;Departamento;Provincia;Distrito;UBIGEO_Distrito;Nombre del personaje
POINT (-77.1008964 -12.0814346);Parque;Parque Alicia Maldonado;Perú;Lima;Lima;San Miguel;150136;Alicia Maldonado
POINT (-77.0140799 -12.1329901);Parque;Parque Antonia Moreno de Cáceres;Perú;Lima;Lima;Santiago de Surco;150140;Antonia Moreno Leyva
POINT (-76.9502895 -12.0681556);Parque;Parque Antonia Moreno de Cáceres;Perú;Lima;Lima;La Molina;150114;Antonia Moreno Leyva
POINT (-76.9892156 -12.0945001);Parque;Parque Antonia Moreno de Cáceres;Perú;Lima;Lima;San Borja;150130;Antonia Moreno Leyva
POINT (-77.0330587 -12.0299831);Parque;Parque Antonieta Razuri;Perú;Lima;Lima;Rímac;150128;Antonieta Razuri
POINT (-76.9889596 -12.1379608);Parque;Parque Bárbara D'Achille;Perú;Lima;Lima;Santiago de Surco;150140;Bárbara Bistevins Treinani de D'Achille
POINT (-77.0430321 -11.9381027);Parque;Parque Beatriz Sarmiento;Perú;Lima;Lima;Comas;150110;Beatriz Lina Sarmiento Ramos
POINT (-76.9984526 -12.0868488);Parque;Parque Carmen Saco;Perú;Lima;Lima;San Borja;150130;Carmen Saco
POINT (-77.0690082 -11.9867891);Parque;Parque Chabuca Granda;Perú;Lima;Lima;Los Olivos;150117;María Isabel Granda y Larco
POINT (-77.0301581 -12.0181028);Parque;Parque Chabuca Granda;Perú;Lima;Lima;Rímac;150128;María Isabel Granda y Larco
POINT (-76.9821201 -12.1172425);Parque;Parque Chabuca Granda;Perú;Lima;Lima;Santiago de Surco;150140;María Isabel Granda y Larco
POINT (-76.9393694 -12.1815237);Parque;Parque Chabuca Granda;Perú;Lima;Lima;Villa María del Triunfo;150143;María Isabel Granda y Larco
POINT (-77.0539485 -11.9664664);Parque;Parque Clorinda Málaga de Prado;Perú;Lima;Lima;Comas;150110;Clorinda Mercedes Málaga Bravo
POINT (-77.028675 -12.1065962);Parque;Parque Clorinda Matto de Turner;Perú;Lima;Lima;Miraflores;150121;Grimanesa Martina Mato Usandivaras
POINT (-77.0587833 -12.0521243);Parque;Parque Clorinda Matto de Turner;Perú;Lima;Lima;Breña;150105;Grimanesa Martina Mato Usandivaras
POINT (-76.993345 -12.0883644);Parque;Parque De la Mujer;Perú;Lima;Lima;San Borja;150130;
POINT (-76.995714 -12.0497045);Parque;Parque Dora Mayer;Perú;Lima;Lima;El Agustino;150111;Dora Mayer Loehts
POINT (-76.9760724 -12.1395668);Parque;Parque Eloisa Angulo «La Criollita»;Perú;Lima;Lima;Santiago de Surco;150140;Eloísa Angulo Mansilla
POINT (-76.9970324 -12.0527095);Parque;Parque Flora Tristán;Perú;Lima;Lima;El Agustino;150111;Flora Celestina Teresa Enriqueta de Tristán y Moscoso
POINT (-76.9270114 -12.1923498);Parque;Parque Flora Tristán;Perú;Lima;Lima;Villa María del Triunfo;150143;Flora Celestina Teresa Enriqueta de Tristán y Moscoso
POINT (-77.0846235 -12.0017674);Parque;Parque Flora Tristán;Perú;Lima;Lima;San Martín de Porres;150135;Flora Celestina Teresa Enriqueta de Tristán y Moscoso
POINT (-77.0458883 -12.0829342);Parque;Parque Georgette y Vallejo;Perú;Lima;Lima;Jesús María;150113;Georgette María Philippart Travers
POINT (-77.0355006 -12.1108103);Parque;Parque Juana Alarco de Dammert;Perú;Lima;Lima;Miraflores;150121;Juana Alarco Espinoza de Dammert
POINT (-77.037321 -12.0587013);Parque;Parque Juana Alarco de Dammert;Perú;Lima;Lima;Cercado de Lima;150101;Juana Alarco Espinoza de Dammert
POINT (-77.0610426 -12.0707142);Parque;Parque Justa Dorregaray;Perú;Lima;Lima;Pueblo Libre;150124;Justa Dorregaray Cueva
POINT (-77.0742831 -12.0855983);Parque;Parque Isabel de Mendaña;Perú;Lima;Lima;San Miguel;150136;Isabel Barreto de Castro
POINT (-77.015899 -12.1308679);Parque;Parque Irma Gamero de Planas;Perú;Lima;Lima;Santiago de Surco;150140;Irma Gamero Salcedo
POINT (-77.0779867 -11.9697614);Parque;Parque Laura Caller;Perú;Lima;Lima;Los Olivos;150117;Laura Caller Iberico
POINT (-76.9992954 -12.0259452);Parque;Parque Las Ñustas;Perú;Lima;Lima;San Juan de Lurigancho;150132;
POINT (-77.0833299 -12.0802415);Parque;Parque Luisa Dammert;Perú;Lima;Lima;San Miguel;150136;Luisa Dammert
POINT (-77.104486 -12.073444);Parque;Parque Luisa Moreno;Perú;Lima;Lima;San Miguel;150136;Blanca Rosa Rodríguez López
POINT (-77.0447673 -12.1052217);Parque;Parque Madre Hermasia Paget;Perú;Lima;Lima;San Isidro;150131;Hermasia Paget Morel
POINT (-76.8316494 -12.1053544);Parque;Parque Magda Portal;Perú;Lima;Lima;Cieneguilla;150107;María Magdalena Julia del Portal Moreno
POINT (-77.0589776 -11.9569181);Parque;Parque Mama Chelita;Perú;Lima;Lima;Comas;150110;
POINT (-77.0579791 -11.9166603);Parque;Parque María Luisa Grau;Perú;Lima;Lima;Comas;150110;María Luisa Grau Cabero
POINT (-76.9766038 -12.1535623);Parque;Parque María Parado de Bellido;Perú;Lima;Lima;San Juan de Miraflores;150133;María Andrea Parado Jayo
POINT (-77.0084744 -12.0220151);Parque;Parque María Parado de Bellido;Perú;Lima;Lima;San Juan de Miraflores;150133;María Andrea Parado Jayo
POINT (-77.0565324 -11.9884268);Parque;Parque María Parado de Bellido;Perú;Lima;Lima;Independencia;150112;María Andrea Parado Jayo
POINT (-76.9879789 -12.1118352);Parque;Parque María Parado de Bellido;Perú;Lima;Lima;Santiago de Surco;150140;María Andrea Parado Jayo
POINT (-77.0817864 -12.0250986);Parque;Parque María Parado de Bellido;Perú;Lima;Lima;San Martín de Porres;150135;María Andrea Parado Jayo
POINT (-76.9879789 -12.1118352);Parque;Parque María Parado de Bellido;Perú;Lima;Lima;Santiago de Surco;150140;María Andrea Parado Jayo
POINT (-76.9219371 -12.2444526);Parque;Parque María Reiche;Perú;Lima;Lima;Villa El Salvador;150142;Maria Reiche
POINT (-77.0763278 -12.0836676);Parque;Parque María Reiche;Perú;Lima;Lima;San Miguel;150136;Maria Reiche
POINT (-77.0485991 -12.1157519);Parque;Parque María Reiche;Perú;Lima;Lima;Miraflores;150121;Maria Reiche
POINT (-76.9959785 -12.121429);Parque;Parque Maria Reiche;Perú;Lima;Lima;Santiago de Surco;150140;Maria Reiche
POINT (-76.9830925 -12.0903093);Parque;Parque María Teresa de la Cruz Candamo;Perú;Lima;Lima;San Borja;150130;Teresa de la Cruz Candamo Álvarez Calderón 
POINT (-77.0285745 -12.1050523);Parque;Parque Mercedes Cabello de Carbonera;Perú;Lima;Lima;Miraflores;150121;Juana Mercedes Cabello Llosa
POINT (-77.0061462 -12.028137);Parque;Parque Micaela Bastidas;Perú;Lima;Lima;San Juan de Lurigancho;150132;Micaela Bastidas Puyucahua
POINT (-76.929686 -12.0456184);Parque;Parque Micaela Bastidas;Perú;Lima;Lima;Ate;150103;Micaela Bastidas Puyucahua
POINT (-76.9476829 -12.1752073);Parque;Parque Micaela Bastidas;Perú;Lima;Lima;Cercado de Lima;150101;Micaela Bastidas Puyucahua
POINT (-77.0293974 -12.0775264);Parque;Parque Micaela Bastidas;Perú;Lima;Lima;Lince;150116;Micaela Bastidas Puyucahua
POINT (-77.0514195 -11.9988173);Parque;Parque Micaela Bastidas;Perú;Lima;Lima;Independencia;150112;Micaela Bastidas Puyucahua
POINT (-77.0665582 -11.9852757);Parque;Parque Micaela Bastidas;Perú;Lima;Lima;Los Olivos;150117;Micaela Bastidas Puyucahua
POINT (-77.0705318 -11.9854485);Parque;Parque Micaela Bastidas;Perú;Lima;Lima;Los Olivos;150117;Micaela Bastidas Puyucahua
POINT (-76.9680826 -12.1675924);Parque;Parque Micaela Bastidas;Perú;Lima;Lima;San Juan de Miraflores;150133;Micaela Bastidas Puyucahua
POINT (-76.9692466 -12.1691752);Parque;Parque Plaza Madre de los Héroes;Perú;Lima;Lima;San Juan de Miraflores;150133;
POINT (-76.9981746 -12.1251269);Parque;Parque Rosa Elvira Figueroa;Perú;Lima;Lima;Santiago de Surco;150140;Rosa Elvira Figueroa y Núñez
POINT (-77.043395 -11.9722527);Parque;Parque Rosa Merino;Perú;Lima;Lima;Independencia;150112;Rosa Merino
POINT (-77.0287448 -12.0965167);Parque;Parque Rosa Merino;Perú;Lima;Lima;San Isidro;150131;Rosa Merino
POINT (-77.0995248 -12.0781875);Parque;Parque Rosa Merino;Perú;Lima;Lima;San Miguel;150136;Rosa Merino
POINT (-77.0509379 -11.8514882);Parque;Parque Rosa Merino;Perú;Lima;Lima;Carabayllo;150106;Rosa Merino
POINT (-77.0059874 -12.1247738);Parque;Parque Rosalía Lavalle;Perú;Lima;Lima;Miraflores;150121;Rosalía Lavalle de Morales Macedo
POINT (-77.0270055 -12.0267852);Parque;Parque Rosita Ríos;Perú;Lima;Lima;Rímac;150128;María Rosa Ríos Portales
POINT (-77.0644647 -12.0597732);Parque;Parque Santa Rosa;Perú;Lima;Lima;Cercado de Lima;150101;Isabel Flores de Oliva
POINT (-76.9891286 -12.1692636);Parque;Parque Santa Rosa;Perú;Lima;Lima;Santiago de Surco;150140;Isabel Flores de Oliva
POINT (-77.0463301 -11.8892467);Parque;Parque Santa Rosa;Perú;Lima;Lima;Carabayllo;150106;Isabel Flores de Oliva
POINT (-77.0775994 -12.0284286);Parque;Parque Santa Rosa;Perú;Lima;Lima;San Martín de Porres;150135;Isabel Flores de Oliva
POINT (-76.9131602 -12.0271854);Parque;Parque Santa Rosa;Perú;Lima;Lima;Ate;150103;Isabel Flores de Oliva
POINT (-77.0806728 -12.0815366);Parque;Parque Santa Rosa;Perú;Lima;Lima;San Miguel;150136;Isabel Flores de Oliva
POINT (-76.9958583 -12.1241938);Parque;Parque Santa Rosa;Perú;Lima;Lima;Santiago de Surco;150140;Isabel Flores de Oliva
POINT (-76.9737618 -12.0429485);Parque;Parque Santa Rosa;Perú;Lima;Lima;Santa Anita;150137;Isabel Flores de Oliva
POINT (-77.0062426 -12.0235592);Parque;Parque Santa Rosa;Perú;Lima;Lima;San Juan de Lurigancho;150132;Isabel Flores de Oliva
POINT (-77.1114088 -11.8919139);Parque;Parque Santa Rosa;Perú;Lima;Callao;Ventanilla (Callao);70106;Isabel Flores de Oliva
POINT (-77.0332038 -12.1010358);Parque;Parque Santa Rosa;Perú;Lima;Lima;San Isidro;150131;Isabel Flores de Oliva
POINT (-76.9482456 -12.067054);Parque;Parque Santa Rosa de Lima;Perú;Lima;Lima;La Molina;150114;Isabel Flores de Oliva
