WKT;Tipo;Nombre de pasajes;País;Departamento;Provincia;Distrito;Ubigeo;Nombre del personaje
LINESTRING (-77.0102962 -12.0442087, -77.0101876 -12.0443057, -77.0100267 -12.0442795, -77.0095479 -12.0441641, -77.009332 -12.044105);Pasaje;Pasaje Adelaida Smith;Perú;Lima;Lima;El Agustino;150111;Adelaida Smith Casely-Hayford
LINESTRING (-76.9889034 -12.1644862, -76.9887264 -12.1641742, -76.9885721 -12.1639225, -76.9884139 -12.1636445, -76.9881443 -12.163187, -76.9879267 -12.1628175);Pasaje;Pasaje Agustina Custodio;Perú;Lima;Lima;Santiago de Surco;150140;Agustina Sofia Custodio Mita
LINESTRING (-77.008775 -12.043445, -77.0086436 -12.0437978, -77.0085751 -12.0439697, -77.0083928 -12.0444759);Pasaje;Pasaje Betty del Piélago;Perú;Lima;Lima;El Agustino;150111;Betty del Piélago
LINESTRING (-77.0013937 -12.1085556, -77.0013883 -12.1082435, -77.0013883 -12.1077163, -77.0013937 -12.1075905);Pasaje;Pasaje Carlota Carvallo;Perú;Lima;Lima;San Borja;150130;Carlota Clara Carvallo Wallstein
LINESTRING (-77.0343812 -12.0311843, -77.0339816 -12.0306938, -77.0333325 -12.0299015, -77.032957 -12.0294267, -77.0328953 -12.0293651, -77.0328523 -12.0293467, -77.0328188 -12.0293493, -77.0324125 -12.0287775, -77.0321228 -12.0284259, -77.0320289 -12.0283118);Pasaje;Pasaje Carlota Villasante de Yorges;Perú;Lima;Lima;Rímac;150128;Carlota Villasante de Yorges
LINESTRING (-77.000671 -12.0563348, -77.0005368 -12.0564201, -77.0003746 -12.0565748, -77.0001868 -12.0567571);Pasaje;Pasaje Catalina Huanca;Perú;Lima;Lima;El Agustino;150111;Catalina Huanca
LINESTRING (-77.0318243 -12.0310286, -77.0313898 -12.030479, -77.0310022 -12.0300002, -77.0307582 -12.0297143, -77.0306415 -12.0295713);Pasaje;Pasaje Cecilia del Risco;Perú;Lima;Lima;Rímac;150128;Cecilia del Risco
LINESTRING (-77.0222297 -12.1493948, -77.0222156 -12.1494033, -77.0221999 -12.1494112, -77.0221865 -12.1494118, -77.0221808 -12.1494085, -77.0221724 -12.1493977, -77.0221586 -12.1493607, -77.0221546 -12.1493512, -77.0221439 -12.1493414, -77.0221301 -12.1493368, -77.0220869 -12.1493505, -77.0219803 -12.1493859, -77.0218451 -12.1494253, -77.0217831 -12.1494443, -77.0217037 -12.1494643, -77.0216175 -12.1494921, -77.0215856 -12.1495036);Pasaje;Pasaje Chabuca Granda;Perú;Lima;Lima;Barranco;150104;María Isabel Granda y Larco
LINESTRING (-77.1262634 -11.8153177, -77.125971 -11.8150972, -77.1255982 -11.8148032, -77.12533 -11.8145879);Pasaje;Pasaje Chabuca Granda;Perú;Lima;Lima;Ancón;150102;María Isabel Granda y Larco
LINESTRING (-77.0783207 -12.0530887, -77.0778987 -12.0531217, -77.0778523 -12.0529133, -77.0771586 -12.0531419, -77.0770519 -12.0531845, -77.0767763 -12.0532887);Pasaje;Pasaje Clemencia viuda de Ferreyros;Perú;Lima;Lima;Cercado de Lima;150101;Clemencia Ribeyro Benites
LINESTRING (-77.0600306 -12.0518523, -77.0599384 -12.0518933, -77.0598542 -12.0519271, -77.0597188 -12.0519845, -77.0594908 -12.0520792, -77.0592943 -12.0521658, -77.0592719 -12.0521756, -77.0591492 -12.0522124, -77.0590925 -12.0522317, -77.0589242 -12.0523038, -77.0587794 -12.0523694, -77.0586949 -12.0524114, -77.0585299 -12.0524606, -77.0583898 -12.0525307, -77.0582308 -12.0525976, -77.0580941 -12.0522814, -77.0583931 -12.0521555, -77.0585648 -12.0521017, -77.0586419 -12.052044, -77.0587888 -12.0519902, -77.0589108 -12.051947, -77.0590932 -12.0518932, -77.0593319 -12.0518106, -77.0596364 -12.0516768, -77.0598791 -12.0515725);Pasaje;Pasaje Clorinda Matto de Turner;Perú;Lima;Lima;Breña;150105;Clorinda Matto de Turner
LINESTRING (-77.0086821 -12.0868501, -77.008717 -12.0864868, -77.0087237 -12.0864357, -77.0087009 -12.0863452, -77.0086848 -12.0862862, -77.0086942 -12.0858954);Pasaje;Pasaje Clorinda Matto de Turner;Perú;Lima;Lima;San Borja;150130;Clorinda Matto de Turner
LINESTRING (-77.0060173 -12.1094295, -77.0060348 -12.1094859, -77.0060079 -12.1097809, -77.005953 -12.1104025);Pasaje;Pasaje Cristina Gálvez;Perú;Lima;Lima;San Borja;150130;Cristina Gálvez y Mendoza de Wolf
LINESTRING (-76.9891274 -12.1710497, -76.9891395 -12.1712961);Pasaje;Pasaje Doña Elian;Perú;Lima;Lima;Santiago de Surco;150140;Doña Elian
LINESTRING (-76.9899571 -12.1709696, -76.9899785 -12.171222);Pasaje;Pasaje Doña Miranda;Perú;Lima;Lima;Santiago de Surco;150140;Doña Miranda
LINESTRING (-76.9909044 -12.171125, -76.9901038 -12.1712234, -76.9893863 -12.1712994, -76.9884006 -12.1713859);Pasaje;Pasaje Doña Victoria;Perú;Lima;Lima;Santiago de Surco;150140;Doña Victoria
LINESTRING (-76.9975338 -12.1627079, -76.9983143 -12.162097);Pasaje;Pasaje Doña Paula;Perú;Lima;Lima;Santiago de Surco;150140;Doña Paula
LINESTRING (-77.0229421 -12.1577303, -77.0225143 -12.1575573);Pasaje;Pasaje Elena Fray de Pastor;Perú;Lima;Lima;Chorrillos;150109;Elena Fray de Pastor
LINESTRING (-77.071191 -11.980948, -77.0705714 -11.9810083, -77.0698969 -11.9810779, -77.0694208 -11.9811172, -77.0691686 -11.98115, -77.0689152 -11.9811841);Pasaje;Pasaje Elvira García y García;Perú;Lima;Lima;Los Olivos;150117;Elvira García y García Bert
LINESTRING (-77.0701361 -12.0843047, -77.0702488 -12.0843821, -77.0708147 -12.0846221, -77.0713941 -12.0848699);Pasaje;Pasaje Esther Festini Ramos;Perú;Lima;Lima;Magdalena del Mar;150120;Esther Festini de Ramos Ocampo
LINESTRING (-77.0774059 -11.9804436, -77.077202 -11.9804581, -77.0769619 -11.9804738, -77.0767353 -11.9804987, -77.0763504 -11.9805342, -77.0760419 -11.9805643, -77.0755431 -11.9806011, -77.0751447 -11.9806326, -77.0750187 -11.9806431, -77.0750147 -11.9805866, -77.074391 -11.9806575, -77.0740062 -11.9806942);Pasaje;Pasaje Esther Salgado;Perú;Lima;Lima;Los Olivos;150117;Esther Salgado
